trialnum,filename,facehouse,girlboy
259,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
260,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
261,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
262,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
263,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
264,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
265,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
266,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
267,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,0
268,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
269,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
270,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,0
271,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
272,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
273,stimulus_presentation/stim/face_house/houses\house12.3.jpg,0,1
274,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
275,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,1
276,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
277,stimulus_presentation/stim/face_house/houses\house6.3.jpg,0,0
278,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
279,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
280,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
281,stimulus_presentation/stim/face_house/faces\Jodi_3.jpg,1,0
282,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
283,stimulus_presentation/stim/face_house/houses\house4.3.jpg,0,1
284,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
285,stimulus_presentation/stim/face_house/faces\Janie_3.jpg,1,0
286,stimulus_presentation/stim/face_house/faces\Tim_3.jpg,1,1
287,stimulus_presentation/stim/face_house/houses\house11.3.jpg,0,1
288,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
289,stimulus_presentation/stim/face_house/faces\Annie_3.jpg,1,0
290,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
291,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,0
292,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
293,stimulus_presentation/stim/face_house/faces\Don_3.jpg,1,1
294,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
295,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
296,stimulus_presentation/stim/face_house/faces\Joe_3.jpg,1,1
297,stimulus_presentation/stim/face_house/houses\house9.3.jpg,0,1
298,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
299,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
300,stimulus_presentation/stim/face_house/houses\house8.3.jpg,0,1
301,stimulus_presentation/stim/face_house/houses\house10.3.jpg,0,1
302,stimulus_presentation/stim/face_house/faces\Tom_3.jpg,1,1
303,stimulus_presentation/stim/face_house/faces\Frank_3.jpg,1,1
304,stimulus_presentation/stim/face_house/faces\Wallace_3.jpg,1,1
305,stimulus_presentation/stim/face_house/houses\house1.3.jpg,0,1
306,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
307,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
308,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,0
309,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
310,stimulus_presentation/stim/face_house/faces\Joan_3.jpg,1,0
311,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
312,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
313,stimulus_presentation/stim/face_house/faces\Blake_3.jpg,1,1
314,stimulus_presentation/stim/face_house/houses\house7.3.jpg,0,1
315,stimulus_presentation/stim/face_house/faces\Estelle_3.jpg,1,0
